Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,,,,,
bamboo,10,0.605540764,0.796995516,0.324594706,0.307052862,,,,,,,,
bamboo,10,0.610487859,0.794253144,0.319034222,0.279082932,,,,,,,,
bamboo,10,0.602196482,0.801536864,0.335917582,0.303565645,,,,,,,,
bamboo,10,0.598466376,0.801054731,0.344422911,0.318196697,,,,,,,,
bamboo,10,0.605302527,0.801668505,0.355703154,0.316154057,,,,,,,,
clover,1,0.46718438,0.640253635,0.379219795,0.465695678,0.461750994,0.648454489,0.418950057,0.448274825,,,,
clover,1,0.447698066,0.658533349,0.467263109,0.406103712,,,,,,,,
clover,1,0.443485747,0.644923409,0.440121901,0.415562754,,,,,,,,
clover,1,0.463827687,0.64322853,0.405267011,0.45685823,,,,,,,,
clover,1,0.458183681,0.650356314,0.395132995,0.487235269,,,,,,,,
clover,1,0.465061603,0.641915215,0.426166199,0.47756002,,,,,,,,
clover,1,0.481025463,0.658711088,0.362613039,0.425048822,,,,,,,,
clover,1,0.453782625,0.643541799,0.457179063,0.489545978,,,,,,,,
clover,1,0.470514409,0.671133912,0.480378761,0.413062864,,,,,,,,
clover,1,0.466746278,0.631947644,0.376158699,0.446074922,,,,,,,,
clover,2,0.505399761,0.717865163,0.446474109,0.457898725,0.491269266,0.712718294,0.440328231,0.444843895,,,,
clover,2,0.493594459,0.719993572,0.389179531,0.375767212,,,,,,,,
clover,2,0.48272784,0.716710498,0.440356302,0.350308875,,,,,,,,
clover,2,0.49387968,0.708349361,0.425885864,0.500315773,,,,,,,,
clover,2,0.503860624,0.728511025,0.467262824,0.458141957,,,,,,,,
clover,2,0.511204875,0.725231982,0.439039936,0.500477928,,,,,,,,
clover,2,0.483435316,0.700504472,0.509303707,0.506747922,,,,,,,,
clover,2,0.475607343,0.695574241,0.408413118,0.45958784,,,,,,,,
clover,2,0.477088301,0.704461382,0.505803908,0.43671047,,,,,,,,
clover,2,0.485894456,0.709981247,0.371563013,0.40248225,,,,,,,,
clover,3,0.502725104,0.773196797,0.442433337,0.442264279,0.516783935,0.758961739,0.450501848,0.431994462,,,,
clover,3,0.527015956,0.75368373,0.410366995,0.36714597,,,,,,,,
clover,3,0.508325253,0.758241092,0.478041342,0.454182672,,,,,,,,
clover,3,0.524068437,0.757151117,0.509542843,0.432413362,,,,,,,,
clover,3,0.537639871,0.754810822,0.476277218,0.43638616,,,,,,,,
